GEO_ID,NAME,S1903_C03_001E,,
Geography,Geographic Area Name,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,80% AMI,120%AMI
1400000US37021003003,Census Tract 30.03; Buncombe County; North Carolina,58021,46416.8,69625.2
1400000US37021003004,Census Tract 30.04; Buncombe County; North Carolina,67763,54210.4,81315.6
1400000US37021003103,Census Tract 31.03; Buncombe County; North Carolina,72639,58111.2,87166.8
1400000US37021003105,Census Tract 31.05; Buncombe County; North Carolina,74904,59923.2,89884.8
1400000US37021003106,Census Tract 31.06; Buncombe County; North Carolina,61818,49454.4,74181.6
1400000US37021003107,Census Tract 31.07; Buncombe County; North Carolina,81136,64908.8,97363.2
1400000US37021003108,Census Tract 31.08; Buncombe County; North Carolina,-,#VALUE!,#VALUE!
1400000US37021003201,Census Tract 32.01; Buncombe County; North Carolina,84338,67470.4,101205.6
1400000US37021003202,Census Tract 32.02; Buncombe County; North Carolina,93523,74818.4,112227.6
1400000US37021003203,Census Tract 32.03; Buncombe County; North Carolina,73958,59166.4,88749.6
1400000US37021003204,Census Tract 32.04; Buncombe County; North Carolina,72984,58387.2,87580.8
1400000US37021003205,Census Tract 32.05; Buncombe County; North Carolina,34063,27250.4,40875.6
1400000US37023020100,Census Tract 201; Burke County; North Carolina,45750,36600,54900
1400000US37023020202,Census Tract 202.02; Burke County; North Carolina,54705,43764,65646
1400000US37023020203,Census Tract 202.03; Burke County; North Carolina,90471,72376.8,108565.2
1400000US37023020204,Census Tract 202.04; Burke County; North Carolina,70581,56464.8,84697.2
1400000US37023020301,Census Tract 203.01; Burke County; North Carolina,49625,39700,59550
1400000US37023020303,Census Tract 203.03; Burke County; North Carolina,60600,48480,72720
1400000US37023020304,Census Tract 203.04; Burke County; North Carolina,48285,38628,57942
1400000US37023020500,Census Tract 205; Burke County; North Carolina,53922,43137.6,64706.4
1400000US37023020600,Census Tract 206; Burke County; North Carolina,45613,36490.4,54735.6
1400000US37023020801,Census Tract 208.01; Burke County; North Carolina,59109,47287.2,70930.8
1400000US37023020802,Census Tract 208.02; Burke County; North Carolina,52778,42222.4,63333.6
