GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,Median Household Income ,80% AMI ,120% AMI ,TimeFrame,GeoVintage,Source,Location
Census Tract,37021000100,NC,37021000100,37021000100,"19,421.00","15,536.80","23,305.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021000200,NC,37021000200,37021000200,"50,250.00","40,200.00","60,300.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021000300,NC,37021000300,37021000300,"46,406.00","37,124.80","55,687.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021000400,NC,37021000400,37021000400,"51,591.00","41,272.80","61,909.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021000500,NC,37021000500,37021000500,"108,421.00","86,736.80","130,105.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021000600,NC,37021000600,37021000600,"58,171.00","46,536.80","69,805.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021000700,NC,37021000700,37021000700,"65,972.00","52,777.60","79,166.40",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021000800,NC,37021000800,37021000800,"90,446.00","72,356.80","108,535.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021000900,NC,37021000900,37021000900,"24,526.00","19,620.80","29,431.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021001000,NC,37021001000,37021001000,"72,664.00","58,131.20","87,196.80",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021001100,NC,37021001100,37021001100,"87,244.00","69,795.20","104,692.80",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021001200,NC,37021001200,37021001200,"69,401.00","55,520.80","83,281.20",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021001300,NC,37021001300,37021001300,"46,797.00","37,437.60","56,156.40",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021001401,NC,37021001401,37021001401,"39,259.00","31,407.20","47,110.80",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021001402,NC,37021001402,37021001402,"41,855.00","33,484.00","50,226.00",2018-2022,2022,Census,North Carolina (State)
Census Tract,37021001500,NC,37021001500,37021001500,"57,788.00","46,230.40","69,345.60",2018-2022,2022,Census,North Carolina (State)
